,rank,team,avg,obp,year
12,13,Kansas City Athletics,0.239,0.311,1964
13,14,San Francisco Giants,0.246,0.31,1964
14,15,Cincinnati Reds,0.249,0.308,1964
15,16,Los Angeles Dodgers,0.25,0.305,1964
16,17,Los Angeles Angels,0.242,0.304,1964
17,18,Washington Senators,0.231,0.299,1964
18,19,New York Mets,0.246,0.296,1964
19,20,Houston Colt 45's,0.229,0.285,1964
0,1,Cincinnati Reds,0.273,0.339,1965
1,2,Boston Red Sox,0.251,0.327,1965
2,3,Minnesota Twins,0.254,0.324,1965
3,4,Pittsburgh Pirates,0.265,0.317,1965
4,5,Cleveland Indians,0.25,0.315,1965
5,6,Chicago White Sox,0.246,0.315,1965
6,7,St. Louis Cardinals,0.254,0.314,1965
7,8,Philadelphia Phillies,0.25,0.313,1965
8,9,San Francisco Giants,0.252,0.313,1965
9,10,Los Angeles Dodgers,0.245,0.312,1965
10,11,Detroit Tigers,0.238,0.312,1965
11,12,Milwaukee Braves,0.256,0.31,1965
12,13,Kansas City Athletics,0.24,0.309,1965
13,14,Baltimore Orioles,0.238,0.307,1965
14,15,Chicago Cubs,0.238,0.307,1965
15,16,Houston Astros,0.237,0.305,1965
16,17,Washington Senators,0.228,0.304,1965
17,18,New York Yankees,0.235,0.299,1965
18,19,Los Angeles Angels,0.239,0.297,1965
19,20,New York Mets,0.221,0.277,1965
0,1,Pittsburgh Pirates,0.279,0.329,1966
1,2,Atlanta Braves,0.263,0.326,1966
2,3,Baltimore Orioles,0.258,0.324,1966
3,4,Philadelphia Phillies,0.258,0.322,1966
4,5,Detroit Tigers,0.251,0.321,1966
5,6,Houston Astros,0.255,0.318,1966
6,7,Minnesota Twins,0.249,0.316,1966
7,8,Los Angeles Dodgers,0.256,0.314,1966
8,9,Chicago Cubs,0.254,0.313,1966
9,10,Boston Red Sox,0.24,0.31,1966
10,11,Cincinnati Reds,0.26,0.309,1966
11,12,California Angels,0.232,0.303,1966
12,13,San Francisco Giants,0.248,0.303,1966
13,14,New York Mets,0.239,0.301,1966
14,15,New York Yankees,0.235,0.299,1966
15,16,St. Louis Cardinals,0.251,0.298,1966
16,17,Cleveland Indians,0.237,0.297,1966
17,18,Chicago White Sox,0.231,0.297,1966
18,19,Washington Senators,0.234,0.295,1966
19,20,Kansas City Athletics,0.236,0.294,1966
0,1,Detroit Tigers,0.243,0.325,1967
1,2,Pittsburgh Pirates,0.277,0.324,1967
2,3,Boston Red Sox,0.255,0.321,1967
3,4,St. Louis Cardinals,0.263,0.32,1967
4,5,Houston Astros,0.249,0.317,1967
5,6,Chicago Cubs,0.251,0.316,1967
6,7,San Francisco Giants,0.245,0.313,1967
7,8,Philadelphia Phillies,0.242,0.313,1967
8,9,Baltimore Orioles,0.24,0.31,1967
9,10,Minnesota Twins,0.24,0.309,1967
10,11,Atlanta Braves,0.24,0.307,1967
11,12,Los Angeles Dodgers,0.236,0.301,1967
12,13,California Angels,0.238,0.301,1967
13,14,Cincinnati Reds,0.248,0.297,1967
14,15,New York Yankees,0.225,0.296,1967
15,16,Kansas City Athletics,0.233,0.296,1967
16,17,Cleveland Indians,0.235,0.293,1967
17,18,Chicago White Sox,0.225,0.291,1967
18,19,New York Mets,0.238,0.288,1967
19,20,Washington Senators,0.223,0.288,1967
0,1,Cincinnati Reds,0.273,0.32,1968
1,2,Boston Red Sox,0.236,0.313,1968
2,3,San Francisco Giants,0.239,0.307,1968
3,4,Detroit Tigers,0.235,0.307,1968
4,5,Atlanta Braves,0.252,0.307,1968
5,6,Pittsburgh Pirates,0.252,0.306,1968
6,7,Oakland Athletics,0.24,0.304,1968
7,8,Baltimore Orioles,0.225,0.304,1968
8,9,Minnesota Twins,0.237,0.299,1968
9,10,Houston Astros,0.231,0.298,1968
10,11,St. Louis Cardinals,0.249,0.298,1968
11,12,Chicago Cubs,0.242,0.298,1968
12,13,Philadelphia Phillies,0.233,0.294,1968
13,14,Cleveland Indians,0.234,0.293,1968
14,15,New York Yankees,0.214,0.292,1968
15,16,California Angels,0.227,0.291,1968
16,17,Los Angeles Dodgers,0.23,0.289,1968
17,18,Washington Senators,0.224,0.287,1968
18,19,Chicago White Sox,0.228,0.284,1968
19,20,New York Mets,0.228,0.281,1968
0,1,Baltimore Orioles,0.265,0.343,1969
1,2,Minnesota Twins,0.268,0.34,1969
2,3,Cincinnati Reds,0.277,0.335,1969
3,4,San Francisco Giants,0.242,0.334,1969
4,5,Pittsburgh Pirates,0.277,0.334,1969
5,6,Boston Red Sox,0.251,0.333,1969
6,7,Houston Astros,0.24,0.33,1969
7,8,Washington Senators,0.251,0.33,1969
8,9,Oakland Athletics,0.249,0.329,1969
9,10,Chicago Cubs,0.253,0.323,1969
10,11,Atlanta Braves,0.258,0.321,1969
11,12,Chicago White Sox,0.247,0.32,1969
12,13,St. Louis Cardinals,0.253,0.316,1969
13,14,Detroit Tigers,0.242,0.316,1969
14,15,Seattle Pilots,0.234,0.316,1969
15,16,Los Angeles Dodgers,0.254,0.315,1969
16,17,Philadelphia Phillies,0.241,0.312,1969
17,18,New York Mets,0.242,0.311,1969
18,19,Montreal Expos,0.24,0.31,1969
19,20,Kansas City Royals,0.24,0.309,1969
20,21,New York Yankees,0.235,0.308,1969
21,22,Cleveland Indians,0.237,0.307,1969
22,23,California Angels,0.23,0.3,1969
23,24,San Diego Padres,0.225,0.285,1969
0,1,San Francisco Giants,0.262,0.351,1970
1,2,Baltimore Orioles,0.257,0.344,1970
2,3,Cincinnati Reds,0.27,0.336,1970
3,4,Boston Red Sox,0.262,0.335,1970
4,5,Los Angeles Dodgers,0.27,0.334,1970
5,6,Atlanta Braves,0.27,0.334,1970
6,7,New York Mets,0.249,0.333,1970
7,8,Chicago Cubs,0.259,0.333,1970
8,9,Houston Astros,0.259,0.332,1970
9,10,St. Louis Cardinals,0.263,0.331,1970
10,11,Minnesota Twins,0.262,0.327,1970
11,12,Pittsburgh Pirates,0.27,0.325,1970
12,13,Oakland Athletics,0.249,0.325,1970
13,14,New York Yankees,0.251,0.324,1970
14,15,Montreal Expos,0.237,0.323,1970
15,16,Detroit Tigers,0.238,0.322,1970
16,17,Washington Senators,0.238,0.321,1970
17,18,Milwaukee Brewers,0.242,0.319,1970
18,19,Chicago White Sox,0.253,0.315,1970
19,20,Cleveland Indians,0.249,0.314,1970
20,21,San Diego Padres,0.246,0.312,1970
21,22,Kansas City Royals,0.244,0.309,1970
22,23,California Angels,0.251,0.309,1970
23,24,Philadelphia Phillies,0.238,0.305,1970
0,1,Baltimore Orioles,0.261,0.347,1971
1,2,St. Louis Cardinals,0.275,0.338,1971
2,3,Pittsburgh Pirates,0.274,0.33,1971
3,4,San Francisco Giants,0.247,0.329,1971
4,5,New York Yankees,0.254,0.328,1971
5,6,Los Angeles Dodgers,0.266,0.325,1971
6,7,Detroit Tigers,0.254,0.325,1971
7,8,Chicago Cubs,0.258,0.325,1971
8,9,Chicago White Sox,0.25,0.325,1971
9,10,Minnesota Twins,0.26,0.323,1971
10,11,Montreal Expos,0.246,0.322,1971
11,12,Boston Red Sox,0.252,0.322,1971
12,13,Oakland Athletics,0.252,0.321,1971
13,14,New York Mets,0.249,0.319,1971
14,15,Kansas City Royals,0.25,0.313,1971
15,16,Atlanta Braves,0.257,0.312,1971
16,17,Washington Senators,0.23,0.307,1971
17,18,Milwaukee Brewers,0.229,0.304,1971
18,19,Houston Astros,0.24,0.302,1971
19,20,Cleveland Indians,0.238,0.3,1971
20,21,Cincinnati Reds,0.241,0.3,1971
21,22,Philadelphia Phillies,0.233,0.298,1971
22,23,San Diego Padres,0.233,0.293,1971
23,24,California Angels,0.231,0.29,1971
0,1,Cincinnati Reds,0.251,0.33,1972
1,2,Chicago Cubs,0.257,0.33,1972
2,3,Atlanta Braves,0.258,0.328,1972
3,4,Kansas City Royals,0.255,0.327,1972
4,5,Houston Astros,0.258,0.326,1972
5,6,Pittsburgh Pirates,0.274,0.324,1972
6,7,Los Angeles Dodgers,0.256,0.319,1972
7,8,Boston Red Sox,0.248,0.318,1972
